instrument,session,direction,units,entry_time,entry,stop_loss,take_profit,exit_time,exit,outcome,pnl_usd,r_multiple,nav_after
USD_JPY,LONDON,short,26106,2025-06-04T08:30:00.000000000Z,148.77,149.054925356571,148.20014928685802,2025-06-04T08:45:00.000000000Z,149.054925356571,sl,-49.9,-0.998,9950.1
GBP_USD,LONDON,long,19110,2025-06-04T09:45:00.000000000Z,1.28201,1.2794066927428596,1.2872166145142812,2025-06-04T12:15:00.000000000Z,1.2794066927428596,sl,-49.75,-1.0,9900.35
EUR_USD,LONDON,short,33210,2025-06-04T09:15:00.000000000Z,1.0796000000000001,1.0810980347707828,1.0766039304584347,2025-06-04T12:45:00.000000000Z,1.0810980347707828,sl,-49.75,-1.0,9850.6
GBP_USD,LONDON,long,21009,2025-06-05T09:00:00.000000000Z,1.2904,1.288055733282407,1.295088533435186,2025-06-05T12:15:00.000000000Z,1.295088533435186,tp,98.5,2.0,9949.1
USD_JPY,LONDON,long,32145,2025-06-05T07:30:00.000000000Z,151.177,150.94537079498988,151.6402584100202,2025-06-05T15:15:00.000000000Z,150.94537079498988,sl,-49.33,-1.002,9899.77
AUD_USD,NEWYORK,long,31427,2025-06-05T13:30:00.000000000Z,0.69125,0.6896671548097072,0.6944156903805857,2025-06-06T03:15:00.000000000Z,0.6896671548097072,sl,-49.74,-1.0,9850.03
GBP_USD,LONDON,long,27267,2025-06-06T07:45:00.000000000Z,1.29671,1.2949037891744486,1.300322421651103,2025-06-06T08:15:00.000000000Z,1.2949037891744486,sl,-49.25,-1.0,9800.78
EUR_USD,LONDON,short,38094,2025-06-06T09:45:00.000000000Z,1.07876,1.080046390240879,1.0761872195182418,2025-06-06T11:15:00.000000000Z,1.0761872195182418,tp,98.01,2.0,9898.79
EUR_USD,NEWYORK,short,29869,2025-06-06T14:45:00.000000000Z,1.07592,1.0775769805307964,1.0726060389384071,2025-06-06T15:30:00.000000000Z,1.0726060389384071,tp,98.98,2.0,9997.77
GBP_USD,LONDON,short,24178,2025-06-09T10:30:00.000000000Z,1.2909899999999999,1.2930574807720774,1.2868550384558448,2025-06-09T12:15:00.000000000Z,1.2930574807720774,sl,-49.99,-1.0,9947.78
